Country,Seats2000,Seats2001,Seats2002,Seats2003,Seats2004,Seats2005,Seats2006,Seats2007,Seats2008,Seats2009,Seats2010,Seats2011,Seats2012,Seats2013,Seats2014,Seats2015,Internet2000,Internet2001,Internet2002,Internet2003,Internet2004,Internet2005,Internet2006,Internet2007,Internet2008,Internet2009,Internet2010,Internet2011,Internet2012,Internet2013,Internet2014,Internet2015
Mauritius,5.7,7.98,10.26,12.54,14.82,17.1,17.44,17.78,18.12,18.46,18.8,18.8,18.8,18.8,18.8,11.6,7.3,8.88,10.46,12.04,13.62,15.2,17.82,20.44,23.06,25.68,28.3,35,35.4,40.1,44.8,50.1
Mexico,15.9,17.46,19.02,20.58,22.14,23.7,23.92,24.14,24.36,24.58,24.8,25.5,36,36,36.8,40.6,5.1,7.52,9.94,12.36,14.78,17.2,19.98,22.76,25.54,28.32,31.1,37.2,39.8,43.5,44.4,57.4
Micronesia (Federated States of),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.7,5.34,6.98,8.62,10.26,11.9,13.52,15.14,16.76,18.38,20,22.8,26,27.8,29.6,31.5
Moldova (Republic of),7.9,10.68,13.46,16.24,19.02,21.8,21.2,20.6,20,19.4,18.8,19.8,19.8,19.8,17.8,21.8,1.3,3.96,6.62,9.28,11.94,14.6,18.14,21.68,25.22,28.76,32.3,38,43.4,45,46.6,49.8
Monaco,22.2,21.92,21.64,21.36,21.08,20.8,21.86,22.92,23.98,25.04,26.1,19,19,20.8,20.8,20.8,42.2,44.86,47.52,50.18,52.84,55.5,59.4,63.3,67.2,71.1,75,80.3,87,90.7,92.4,93.4
Mongolia,10.5,9.74,8.98,8.22,7.46,6.7,6.14,5.58,5.02,4.46,3.9,3.9,14.9,14.9,14.9,14.5,1.3,2.19,3.08,3.97,4.86,5.75,6.64,7.53,8.42,9.31,10.2,12.5,16.4,17.7,19.9,21.4
Montenegro,,,,,,,,,,,11.1,12.3,17.3,16,17.3,17.3,,,,,,27.1,29.18,31.26,33.34,35.42,37.5,35.6,56.8,60.3,61,64.6
Morocco,0.7,1.84,2.98,4.12,5.26,6.4,6.46,6.52,6.58,6.64,6.7,11,11,11,11,15.7,0.7,3.58,6.46,9.34,12.22,15.1,22.48,29.86,37.24,44.62,52,46.1,55.4,56,56.8,57.1
Mozambique,30,30.96,31.92,32.88,33.84,34.8,35.68,36.56,37.44,38.32,39.2,39.2,39.2,39.2,39.2,39.6,0.1,0.26,0.42,0.58,0.74,0.9,1.56,2.22,2.88,3.54,4.2,4.3,4.8,5.4,5.9,9
Myanmar,,,,,,,,,,,4,2.9,4.6,4.6,4.3,13,,,,,,0.1,0.14,0.18,0.22,0.26,0.3,1,1.4,1.8,11.5,21.8
Namibia,20.4,21.7,23,24.3,25.6,26.9,26.52,26.14,25.76,25.38,25,25,25,25,25,37.7,1.6,2.08,2.56,3.04,3.52,4,5.52,7.04,8.56,10.08,11.6,12,12.9,13.9,14.8,22.3
Nauru,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.3,5.3,5.3,,,,,,,,,,,,54,,,,
Nepal,7.9,7.6,7.3,7,6.7,6.4,11.76,17.12,22.48,27.84,33.2,33.2,33.2,33.2,29.5,29.5,0.2,0.32,0.44,0.56,0.68,0.8,2.22,3.64,5.06,6.48,7.9,9,11.1,13.3,15.4,17.6
Netherlands,32.9,33.16,33.42,33.68,33.94,34.2,35.1,36,36.9,37.8,38.7,39.1,37.8,37.8,37.8,36.4,44,51.4,58.8,66.2,73.6,81,82.94,84.88,86.82,88.76,90.7,91.4,92.9,94,93.2,93.1
New Zealand,30.8,31.08,31.36,31.64,31.92,32.2,32.48,32.76,33.04,33.32,33.6,32.2,32.2,32.2,29.8,31.4,47.4,50.46,53.52,56.58,59.64,62.7,66.26,69.82,73.38,76.94,80.5,81.2,82,82.8,85.5,88.2
Nicaragua,9.7,11.9,14.1,16.3,18.5,20.7,20.7,20.7,20.7,20.7,20.7,40.2,40.2,40.2,42.4,41.3,1,1.32,1.64,1.96,2.28,2.6,4.08,5.56,7.04,8.52,10,10.6,13.5,15.5,17.6,19.7
Niger,1.2,3.44,5.68,7.92,10.16,12.4,12.55,12.7,12.85,13,13.15,13.3,13.3,13.3,13.3,13.3,0,0.04,0.08,0.12,0.16,0.2,0.32,0.44,0.56,0.68,0.8,1.3,1.4,1.7,1.9,2.2
Nigeria,3.3,3.8,4.3,4.8,5.3,5.8,6.1,6.4,6.7,7,7.3,6.7,6.6,6.6,6.6,5.8,0.1,0.78,1.46,2.14,2.82,3.5,7.6,11.7,15.8,19.9,24,28.4,32.8,38,42.7,47.4
Norway,36.4,36.7,37,37.3,37.6,37.9,38.24,38.58,38.92,39.26,39.6,39.6,39.6,39.6,39.6,39.6,52,58,64,70,76,82,84.28,86.56,88.84,91.12,93.4,93.5,94.7,95.1,96.3,96.8
Oman,,,,,,7.8,8.04,8.28,8.52,8.76,9,9.6,9.6,9.6,9.6,8.2,3.5,4.14,4.78,5.42,6.06,6.7,12.52,18.34,24.16,29.98,35.8,48,60,66.5,70.2,74.2
Pakistan,9.35,11.6,13.85,16.1,18.35,20.6,20.68,20.76,20.84,20.92,21,21.3,21.1,19.7,19.7,20,,,,,,6.3,6.64,6.98,7.32,7.66,8,9,10,10.9,13.8,18
Panama,9.9,11.26,12.62,13.98,15.34,16.7,15.06,13.42,11.78,10.14,8.5,8.5,8.5,8.5,19.3,18.3,6.6,7.58,8.56,9.54,10.52,11.5,17.22,22.94,28.66,34.38,40.1,42.7,40.3,44,44.9,51.2
Papua New Guinea,1.8,1.62,1.44,1.26,1.08,0.9,0.9,0.9,0.9,0.9,0.9,0.9,2.7,2.7,2.7,2.7,0.8,0.98,1.16,1.34,1.52,1.7,1.62,1.54,1.46,1.38,1.3,2,3.5,5.1,6.5,7.9
Paraguay,8,8.32,8.64,8.96,9.28,9.6,10.4,11.2,12,12.8,13.6,13.6,13.6,18.4,16.8,16.8,0.7,2.14,3.58,5.02,6.46,7.9,10.28,12.66,15.04,17.42,19.8,24.8,29.3,36.9,43,44.4
Peru,13.6125,14.55,15.488,16.425,17.363,18.3,20.14,21.98,23.82,25.66,27.5,21.5,21.5,21.5,22.3,22.3,3.1,5.9,8.7,11.5,14.3,17.1,20.64,24.18,27.72,31.26,34.8,36,38.2,39.2,40.2,40.9
Philippines,11.8,12.52,13.24,13.96,14.68,15.4,16.62,17.84,19.06,20.28,21.5,22.1,22.1,27.2,27.2,27.1,2,2.68,3.36,4.04,4.72,5.4,9.32,13.24,17.16,21.08,25,29,36.2,37,39.7,40.7
Poland,12.7,13.98,15.26,16.54,17.82,19.1,18.86,18.62,18.38,18.14,17.9,21.8,21.8,21.8,22.3,24.8,7.3,13.6,19.9,26.2,32.5,38.8,43.5,48.2,52.9,57.6,62.3,62,62.3,62.8,66.6,68
Portugal,17.4,18.18,18.96,19.74,20.52,21.3,22.52,23.74,24.96,26.18,27.4,28.7,28.7,31.3,31.3,34.8,16.4,20.12,23.84,27.56,31.28,35,38.66,42.32,45.98,49.64,53.3,55.3,60.3,62.1,64.6,68.6
Qatar,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,4.9,8.86,12.82,16.78,20.74,24.7,33.56,42.42,51.28,60.14,69,69,69.3,85.3,91.5,92.9
Romania,7.5125,8.15,8.788,9.425,10.063,10.7,10.52,10.34,10.16,9.98,9.8,9.7,11.6,11.6,11.7,12,3.6,7.18,10.76,14.34,17.92,21.5,25.18,28.86,32.54,36.22,39.9,40,45.9,49.8,54.1,55.8
Russian Federation,5.7,6.16,6.62,7.08,7.54,8,8.7,9.4,10.1,10.8,11.5,11.1,12.1,12.1,12.1,14.5,2,4.64,7.28,9.92,12.56,15.2,20.76,26.32,31.88,37.44,43,49,63.8,68,70.5,73.4
Rwanda,25.7,29.62,33.54,37.46,41.38,45.3,46.42,47.54,48.66,49.78,50.9,51.9,51.9,57.5,57.5,57.5,0.1,0.2,0.3,0.4,0.5,0.6,2.08,3.56,5.04,6.52,8,7,8,9,10.6,18
Saint Kitts and Nevis,13.3,10.66,8.02,5.38,2.74,0.1,1.42,2.74,4.06,5.38,6.7,6.7,6.7,6.7,6.7,13.3,5.9,11.52,17.14,22.76,28.38,34,39.8,45.6,51.4,57.2,63,63.2,64,64.6,68,75.7
Saint Lucia,13.8,15.18,16.56,17.94,19.32,20.7,20.7,20.7,20.7,20.7,20.7,24.1,17.2,17.2,17.2,20.7,5.1,8.4,11.7,15,18.3,21.6,25.94,30.28,34.62,38.96,43.3,44,45.9,46.2,50,52.4
Saint Vincent and the Grenadines,4.8,7.48,10.16,12.84,15.52,18.2,17.42,16.64,15.86,15.08,14.3,17.4,17.4,13,13,13,3.2,4.4,5.6,6.8,8,9.2,14.1,19,23.9,28.8,33.7,36.7,40,43.5,47.4,51.8
Samoa,8.2,7.78,7.36,6.94,6.52,6.1,6.52,6.94,7.36,7.78,8.2,4.1,4.1,4.1,6.1,6.1,0.6,1.16,1.72,2.28,2.84,3.4,4.12,4.84,5.56,6.28,7,11,12.9,15.3,21.2,25.4
San Marino,13.3,13.98,14.66,15.34,16.02,16.7,16.7,16.7,16.7,16.7,16.7,18.3,16.7,18.3,18.3,16.7,48.8,49.1,49.4,49.7,50,50.3,50.183,50.067,49.95,49.833,49.7167,49.6,,,,
Sao Tome and Principe,9.1,9.1,9.1,9.1,9.1,9.1,10.92,12.74,14.56,16.38,18.2,18.2,18.2,18.2,18.2,18.2,4.6,6.44,8.28,10.12,11.96,13.8,14.8,15.8,16.8,17.8,18.8,20.2,21.6,23,24.4,25.8
Saudi Arabia,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,19.9,19.9,19.9,2.2,4.3,6.4,8.5,10.6,12.7,18.36,24.02,29.68,35.34,41,47.5,54,60.5,64.7,69.6
Senegal,14,15.04,16.08,17.12,18.16,19.2,21.28,23.36,25.44,27.52,29.6,29.6,42.7,42.7,43.3,42.7,0.4,1.28,2.16,3.04,3.92,4.8,5.44,6.08,6.72,7.36,8,9.8,10.8,13.1,17.7,21.7
Serbia,,,,,,,,,,,21.6,22,33.2,33.2,34,34,,,,,,26.3,29.22,32.14,35.06,37.98,40.9,42.2,48.1,53.5,62.1,65.3
Seychelles,23.5,24.68,25.86,27.04,28.22,29.4,28.22,27.04,25.86,24.68,23.5,43.8,43.8,43.8,43.8,43.8,7.4,11,14.6,18.2,21.8,25.4,28.52,31.64,34.76,37.88,41,43.2,47.1,50.4,54.3,58.1
Sierra Leone,8.8,9.94,11.08,12.22,13.36,14.5,14.24,13.98,13.72,13.46,13.2,12.9,12.4,12.4,12.1,12.4,0.1,0.12,0.14,0.16,0.18,0.2,0.28,0.36,0.44,0.52,0.6,0.9,1.3,1.7,2.1,2.5
Singapore,4.3,6.64,8.98,11.32,13.66,16,17.48,18.96,20.44,21.92,23.4,22.2,24.2,24.2,25.3,23.9,36,41,46,51,56,61,63,65,67,69,71,71,72,80.9,79,82.1
Slovakia,14,14.54,15.08,15.62,16.16,16.7,16.42,16.14,15.86,15.58,15.3,16,18.7,18.7,18.7,18.7,9.4,18.56,27.72,36.88,46.04,55.2,59.3,63.4,67.5,71.6,75.7,74.4,76.7,77.9,80,85
Slovenia,8.925,9.3,9.675,10.05,10.425,10.8,10.8,10.8,10.8,10.8,10.8,23.1,24.6,24.6,26.9,27.7,15.1,21.44,27.78,34.12,40.46,46.8,51.44,56.08,60.72,65.36,70,67.3,68.3,72.7,71.6,73.1
Solomon Islands,2,1.62,1.24,0.86,0.48,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2,2,2,2,0.5,0.56,0.62,0.68,0.74,0.8,1.64,2.48,3.32,4.16,5,6,7,8,9,10
Somalia,,,,,,8,7.76,7.52,7.28,7.04,6.8,6.8,13.8,13.8,13.8,13.8,0,0.22,0.44,0.66,0.88,1.1,1.133,1.167,1.2,1.233,1.2667,1.3,1.4,1.5,1.6,1.8
South Africa,30.1,30.64,31.18,31.72,32.26,32.8,34.78,36.76,38.74,40.72,42.7,41.1,41.1,41.1,40.7,41.2,5.3,5.74,6.18,6.62,7.06,7.5,10.8,14.1,17.4,20.7,24,34,41,46.5,49,51.9
South Sudan,,,,,,,,,,,,24.3,24.3,24.3,24.3,24.3,,,,,,,,,,,7,9.3667,11.7333,14.1,15.9,17.9
Spain,25.9,26.82,27.74,28.66,29.58,30.5,31.22,31.94,32.66,33.38,34.1,34.9,35.2,35.2,37,38,13.6,20.46,27.32,34.18,41.04,47.9,51.48,55.06,58.64,62.22,65.8,67.6,69.8,71.6,76.2,78.7
Sri Lanka,5.15,5.1,5.05,5,4.95,4.9,4.98,5.06,5.14,5.22,5.3,5.8,5.8,5.8,5.8,4.9,0.6,0.84,1.08,1.32,1.56,1.8,3.84,5.88,7.92,9.96,12,15,18.3,21.9,25.8,30
Sudan,8.4125,9.45,10.488,11.525,12.563,13.6,15.72,17.84,19.96,22.08,24.2,24.1,24.1,24.1,23.8,31,0,0.26,0.52,0.78,1.04,1.3,4.38,7.46,10.54,13.62,16.7,17.5,21,22.7,24.6,26.6
Suriname,19.375,20.6,21.825,23.05,24.275,25.5,22.36,19.22,16.08,12.94,9.8,11.8,11.8,11.8,11.8,25.5,2.5,3.28,4.06,4.84,5.62,6.4,11.44,16.48,21.52,26.56,31.6,32,34.7,37.4,40.1,42.8
Swaziland,6.3,8.4,10.5,12.6,14.7,16.8,17.82,18.84,19.86,20.88,21.9,21.9,21.9,14.7,14.7,14.7,0.9,1.46,2.02,2.58,3.14,3.7,5.16,6.62,8.08,9.54,11,18.1,20.8,24.7,27.1,30.4
Sweden,42.7,43.22,43.74,44.26,44.78,45.3,45.24,45.18,45.12,45.06,45,44.7,44.7,45,44.7,43.6,45.7,53.52,61.34,69.16,76.98,84.8,85.84,86.88,87.92,88.96,90,92.8,93.2,94.8,92.5,90.6
Switzerland,22.4,22.88,23.36,23.84,24.32,24.8,25.36,25.92,26.48,27.04,27.6,26.8,27.2,28.9,28.9,28.9,47.1,51.7,56.3,60.9,65.5,70.1,72.86,75.62,78.38,81.14,83.9,85.2,85.2,86.3,87.4,88
Syrian Arab Republic,10.4,10.72,11.04,11.36,11.68,12,12.08,12.16,12.24,12.32,12.4,12.4,12,12,12,12.4,0.2,1.28,2.36,3.44,4.52,5.6,8.62,11.64,14.66,17.68,20.7,22.5,24.3,26.2,28.1,30
Tajikistan,14,15.12,16.24,17.36,18.48,19.6,19.18,18.76,18.34,17.92,17.5,17.5,17.5,17.5,15.2,14.7,0,0.06,0.12,0.18,0.24,0.3,2.56,4.82,7.08,9.34,11.6,13,14.5,16,17.5,19
Tanzania (United Republic of),22.3375,23.95,25.563,27.175,28.787,30.4,31.333,32.267,33.2,34.133,35.0667,36,36,36,36,36,0.1,0.3,0.5,0.7,0.9,1.1,1.46,1.82,2.18,2.54,2.9,3.2,4,4.4,4.9,5.4
Thailand,6.8,7.56,8.32,9.08,9.84,10.6,11.28,11.96,12.64,13.32,14,15.7,15.7,15.7,6.1,6.1,3.7,5.96,8.22,10.48,12.74,15,16.48,17.96,19.44,20.92,22.4,23.7,26.5,28.9,34.9,39.3
The former Yugoslav Republic of Macedonia,6.7,9.2,11.7,14.2,16.7,19.2,21.86,24.52,27.18,29.84,32.5,30.9,32.5,34.1,33.3,33.3,2.5,7.28,12.06,16.84,21.62,26.4,31.5,36.6,41.7,46.8,51.9,56.7,57.5,65.2,68.1,70.4
Timor-Leste,,,,,,25.3,26.08,26.86,27.64,28.42,29.2,32.3,38.5,38.5,38.5,38.5,,,,,,0.1,0.12,0.14,0.16,0.18,0.2,0.9,2.3,8,11.3,13.4
Togo,4.9,5.4,5.9,6.4,6.9,7.4,8.14,8.88,9.62,10.36,11.1,11.1,11.1,15.4,17.6,17.6,0.8,1,1.2,1.4,1.6,1.8,2.04,2.28,2.52,2.76,3,3.5,4,4.5,5.7,7.1
Tonga,0.1,0.76,1.42,2.08,2.74,3.4,2.74,2.08,1.42,0.76,0.1,3.6,3.6,3.6,0.1,0.1,2.4,2.9,3.4,3.9,4.4,4.9,7.12,9.34,11.56,13.78,16,25,33,35,40,45
Trinidad and Tobago,21.65,22.4,23.15,23.9,24.65,25.4,25.8,26.2,26.6,27,27.4,27.4,26,26,24.7,31.5,7.7,11.96,16.22,20.48,24.74,29,32.9,36.8,40.7,44.6,48.5,55.2,59.5,63.8,65.1,69.2
Tunisia,11.5,13.06,14.62,16.18,17.74,19.3,20.1,20.9,21.7,22.5,23.3,26.7,26.7,26.7,31.3,31.3,2.8,4.18,5.56,6.94,8.32,9.7,15.12,20.54,25.96,31.38,36.8,39.1,41.4,43.8,46.2,48.5
Turkey,4.2,4.24,4.28,4.32,4.36,4.4,5.34,6.28,7.22,8.16,9.1,14.2,14.2,14.4,14.4,14.9,3.8,6.14,8.48,10.82,13.16,15.5,20.36,25.22,30.08,34.94,39.8,43.1,45.1,46.3,51,53.7
Turkmenistan,26,24,22,20,18,16,16.16,16.32,16.48,16.64,16.8,16.8,16.8,16.8,26.4,25.8,0.1,0.28,0.46,0.64,0.82,1,1.4,1.8,2.2,2.6,3,5,7.2,9.6,12.2,15
Tuvalu,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6.7,6.7,6.7,6.7,6.7,5.2,7.18,9.16,11.14,13.12,15.1,17.08,19.06,21.04,23.02,25,30,35,37,39.2,42.7
Uganda,17.8,19.02,20.24,21.46,22.68,23.9,25.38,26.86,28.34,29.82,31.3,35,35,35,35,35,0.2,0.5,0.8,1.1,1.4,1.7,3.86,6.02,8.18,10.34,12.5,13,14.7,16.2,17.7,19.2
Ukraine,7.8,7.3,6.8,6.3,5.8,5.3,5.84,6.38,6.92,7.46,8,8,9.4,9.4,11.7,12.1,0.7,1.32,1.94,2.56,3.18,3.8,7.7,11.6,15.5,19.4,23.3,28.7,35.3,41,46.2,49.3
United Arab Emirates,0.1,0.1,0.1,0.1,0.1,0.1,4.58,9.06,13.54,18.02,22.5,17.5,17.5,17.5,17.5,22.5,23.6,26.88,30.16,33.44,36.72,40,45.6,51.2,56.8,62.4,68,78,85,88,90.4,91.2
United Kingdom,17,17.3,17.6,17.9,18.2,18.5,19,19.5,20,20.5,21,22.1,22.6,22.6,23,26.7,26.8,35.44,44.08,52.72,61.36,70,73,76,79,82,85,85.4,87.5,89.8,91.6,92
United States,12.625,13.1,13.575,14.05,14.525,15,15.36,15.72,16.08,16.44,16.8,16.9,18.4,18.2,19.4,19.5,43.1,48.08,53.06,58.04,63.02,68,68.74,69.48,70.22,70.96,71.7,69.7,74.7,71.4,73,74.5
Uruguay,11.5,11.36,11.22,11.08,10.94,10.8,11.56,12.32,13.08,13.84,14.6,12.3,12.3,12.3,11.5,19.2,10.5,12.42,14.34,16.26,18.18,20.1,25.36,30.62,35.88,41.14,46.4,51.4,54.5,57.7,61.5,64.6
Uzbekistan,7.2,9.04,10.88,12.72,14.56,16.4,16.96,17.52,18.08,18.64,19.2,19.2,19.2,19.2,19.2,16.4,0.5,1.06,1.62,2.18,2.74,3.3,5.82,8.34,10.86,13.38,15.9,18.6,23.6,26.8,35.5,42.8
Vanuatu,0.1,0.84,1.58,2.32,3.06,3.8,3.8,3.8,3.8,3.8,3.8,1.9,0.1,0.1,0.1,0.1,2.1,2.7,3.3,3.9,4.5,5.1,5.68,6.26,6.84,7.42,8,9.2,10.6,11.3,18.8,22.4
Venezuela (Bolivarian Republic of),10.4625,11.85,13.238,14.625,16.013,17.4,17.32,17.24,17.16,17.08,17,17,17,17,17,17,3.4,5.24,7.08,8.92,10.76,12.6,17.56,22.52,27.48,32.44,37.4,40.2,49,54.9,57,61.9
Viet Nam,26,26.26,26.52,26.78,27.04,27.3,27,26.7,26.4,26.1,25.8,24.4,24.4,24.4,24.3,24.3,0.3,2.78,5.26,7.74,10.22,12.7,16.28,19.86,23.44,27.02,30.6,35.1,39.5,43.9,48.3,52.7
Yemen,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.5,0.1,0.28,0.46,0.64,0.82,1,3.26,5.52,7.78,10.04,12.3,14.9,17.4,20,22.6,25.1
Zambia,10.1,10.62,11.14,11.66,12.18,12.7,12.96,13.22,13.48,13.74,14,11.5,11.5,11.5,10.8,12.7,0.2,0.74,1.28,1.82,2.36,2.9,4.32,5.74,7.16,8.58,10,11.5,13.5,15.4,19,21
Zimbabwe,9.3,11.6,13.9,16.2,18.5,20.8,20.22,19.64,19.06,18.48,17.9,17.9,17.9,35.1,35.1,35.1,0.4,0.8,1.2,1.6,2,2.4,3.2,4,4.8,5.6,6.4,8.4,12,15.5,16.3,16.4
